time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02 06:00:00,1.3209,1.32117,1.32039,1.32112,481,5,0
2020-01-02 06:15:00,1.32113,1.32173,1.32096,1.32109,676,5,0
2020-01-02 06:30:00,1.32109,1.32177,1.32109,1.3215,419,6,0
2020-01-02 06:45:00,1.3215,1.32164,1.32033,1.3207,665,5,0
2020-01-02 07:00:00,1.3207,1.32101,1.32021,1.32054,826,3,0
2020-01-02 07:15:00,1.32054,1.32104,1.32021,1.32064,820,4,0
2020-01-02 07:30:00,1.32063,1.32109,1.32038,1.32097,452,3,0
2020-01-02 07:45:00,1.32097,1.32137,1.32086,1.32134,338,4,0
2020-01-02 08:00:00,1.32134,1.32239,1.32133,1.32214,435,2,0
2020-01-02 08:15:00,1.32215,1.32222,1.32134,1.32145,573,5,0
2020-01-02 08:30:00,1.32145,1.32153,1.32061,1.32085,514,4,0
2020-01-02 08:45:00,1.32085,1.32218,1.32077,1.32187,396,4,0
2020-01-02 09:00:00,1.32198,1.32274,1.32156,1.32244,892,4,0
2020-01-02 09:15:00,1.32245,1.3229,1.32146,1.32198,620,3,0
2020-01-02 09:30:00,1.32199,1.32233,1.32095,1.32208,811,3,0
2020-01-02 09:45:00,1.32208,1.32261,1.32171,1.32195,506,6,0
2020-01-02 10:00:00,1.32195,1.32262,1.32104,1.32113,878,5,0
2020-01-02 10:15:00,1.32114,1.32247,1.3209,1.32119,678,4,0
2020-01-02 10:30:00,1.32119,1.32215,1.32116,1.32169,517,5,0
2020-01-02 10:45:00,1.32166,1.32305,1.32166,1.32215,1100,5,0
2020-01-02 11:00:00,1.32213,1.32269,1.32167,1.32184,586,6,0
2020-01-02 11:15:00,1.32184,1.32244,1.3218,1.32199,342,6,0
2020-01-02 11:30:00,1.32197,1.32231,1.32167,1.32194,498,6,0
2020-01-02 11:45:00,1.32199,1.32203,1.32098,1.32139,443,5,0
2020-01-02 12:00:00,1.32139,1.32146,1.32088,1.32124,571,3,0
2020-01-02 12:15:00,1.32124,1.32138,1.32049,1.32059,493,5,0
2020-01-02 12:30:00,1.32059,1.32139,1.32059,1.32101,467,4,0
2020-01-02 12:45:00,1.32101,1.32128,1.32078,1.32112,419,5,0
2020-01-02 13:00:00,1.32111,1.32113,1.32005,1.32035,551,3,0
2020-01-02 13:15:00,1.32035,1.32049,1.31908,1.31947,594,5,0
2020-01-02 13:30:00,1.31947,1.31993,1.31886,1.31944,718,3,0
2020-01-02 13:45:00,1.31945,1.32012,1.31919,1.31995,561,5,0
2020-01-02 14:00:00,1.31995,1.32097,1.31948,1.32092,734,3,0
2020-01-02 14:15:00,1.32092,1.32126,1.32047,1.32093,746,4,0
2020-01-02 14:30:00,1.32094,1.32115,1.3202,1.3202,533,4,0
2020-01-02 14:45:00,1.3202,1.32035,1.31905,1.31968,601,3,0
2020-01-02 15:00:00,1.31968,1.31969,1.31899,1.31936,616,3,0
2020-01-02 15:15:00,1.31936,1.31949,1.31785,1.31809,936,3,0
2020-01-02 15:30:00,1.31808,1.3182,1.31729,1.31759,816,5,0
2020-01-02 15:45:00,1.31759,1.31823,1.31712,1.31762,662,5,0
2020-01-02 16:00:00,1.31762,1.31772,1.31562,1.31578,962,2,0
2020-01-02 16:15:00,1.31578,1.31632,1.31508,1.31519,731,3,0
2020-01-02 16:30:00,1.31519,1.3157,1.31451,1.31509,1057,2,0
2020-01-02 16:45:00,1.31509,1.31537,1.31351,1.31473,844,3,0
2020-01-02 17:00:00,1.31472,1.31629,1.31454,1.31616,903,4,0
2020-01-02 17:15:00,1.31616,1.31731,1.31587,1.31714,1203,2,0
2020-01-02 17:30:00,1.31712,1.31943,1.31708,1.31831,1170,3,0
2020-01-02 17:45:00,1.3183,1.31925,1.31829,1.31888,1149,4,0
2020-01-02 18:00:00,1.31889,1.31891,1.31741,1.31754,1060,4,0
2020-01-02 18:15:00,1.31754,1.31756,1.31531,1.3157,1024,2,0
2020-01-02 18:30:00,1.3157,1.31573,1.31369,1.31369,910,2,0
2020-01-02 18:45:00,1.31367,1.31409,1.31233,1.31268,1064,3,0
2020-01-02 19:00:00,1.31268,1.31289,1.31216,1.3126,751,3,0
2020-01-02 19:15:00,1.31259,1.31302,1.3115,1.31296,876,3,0
2020-01-02 19:30:00,1.31295,1.31342,1.31222,1.3124,1106,5,0
2020-01-02 19:45:00,1.3124,1.31341,1.31233,1.31341,902,2,0
2020-01-02 20:00:00,1.31341,1.31352,1.31249,1.31252,800,4,0
2020-01-02 20:15:00,1.31252,1.31358,1.31248,1.31357,616,3,0
2020-01-02 20:30:00,1.31356,1.31423,1.31339,1.3141,702,3,0
2020-01-02 20:45:00,1.3141,1.31433,1.31328,1.31395,742,4,0
2020-01-02 21:00:00,1.31395,1.31403,1.31325,1.31356,634,2,0
2020-01-02 21:15:00,1.31356,1.31365,1.313,1.3133,656,4,0
2020-01-02 21:30:00,1.3133,1.31342,1.31279,1.31331,496,6,0
2020-01-02 21:45:00,1.31331,1.31378,1.31281,1.31284,650,3,0
2020-01-02 22:00:00,1.31284,1.31406,1.31283,1.31394,566,4,0
2020-01-02 22:15:00,1.31393,1.31448,1.31385,1.31442,448,5,0
2020-01-02 22:30:00,1.31442,1.31443,1.31368,1.31388,602,4,0
2020-01-02 22:45:00,1.31389,1.31455,1.31352,1.31383,747,5,0
2020-01-02 23:00:00,1.31381,1.31418,1.31353,1.314,287,6,0
2020-01-02 23:15:00,1.314,1.31415,1.31396,1.31407,218,7,0
2020-01-02 23:30:00,1.31407,1.31409,1.31387,1.31392,276,8,0
2020-01-02 23:45:00,1.31395,1.31395,1.31347,1.31363,280,3,0
2020-01-03 00:00:00,1.31363,1.31446,1.31342,1.31377,114,46,0
2020-01-03 00:15:00,1.31405,1.31405,1.31344,1.3137,699,46,0
2020-01-03 00:30:00,1.31371,1.31441,1.31362,1.31412,277,52,0
2020-01-03 00:45:00,1.31417,1.31457,1.3135,1.31371,449,60,0
2020-01-03 01:00:00,1.31371,1.31428,1.31329,1.31406,230,13,0
2020-01-03 01:15:00,1.31406,1.31434,1.314,1.31417,446,4,0
2020-01-03 01:30:00,1.31417,1.31454,1.31415,1.31445,518,10,0
2020-01-03 01:45:00,1.31445,1.31479,1.31425,1.31466,249,4,0
2020-01-03 02:00:00,1.31465,1.31487,1.31395,1.3147,373,5,0
2020-01-03 02:15:00,1.3147,1.31497,1.31466,1.31486,342,5,0
2020-01-03 02:30:00,1.31486,1.3151,1.31485,1.31501,273,7,0
2020-01-03 02:45:00,1.31501,1.31566,1.31499,1.31549,299,3,0
2020-01-03 03:00:00,1.31549,1.31576,1.31544,1.31547,204,8,0
2020-01-03 03:15:00,1.31546,1.31599,1.31493,1.31512,388,2,0
2020-01-03 03:30:00,1.31512,1.31516,1.31451,1.31455,493,3,0
2020-01-03 03:45:00,1.31455,1.31508,1.31345,1.31376,653,2,0
2020-01-03 04:00:00,1.31376,1.31394,1.3136,1.31363,370,6,0
2020-01-03 04:15:00,1.31367,1.31417,1.31362,1.31397,621,7,0
2020-01-03 04:30:00,1.31397,1.31433,1.31388,1.31409,653,4,0
2020-01-03 04:45:00,1.31409,1.31435,1.31232,1.31273,816,4,0
2020-01-03 05:00:00,1.31275,1.31336,1.31265,1.31325,621,7,0
2020-01-03 05:15:00,1.31325,1.31329,1.31263,1.31294,940,4,0
2020-01-03 05:30:00,1.31294,1.31322,1.31288,1.31322,283,5,0
2020-01-03 05:45:00,1.31322,1.31378,1.31306,1.31355,469,3,0
2020-01-03 06:00:00,1.31355,1.31366,1.31326,1.31351,466,4,0
2020-01-03 06:15:00,1.31351,1.31369,1.31344,1.31365,251,6,0
2020-01-03 06:30:00,1.31365,1.31372,1.31338,1.31349,316,8,0
2020-01-03 06:45:00,1.31349,1.31354,1.31244,1.31257,706,5,0
2020-01-03 07:00:00,1.31257,1.31288,1.31178,1.31199,586,5,0
2020-01-03 07:15:00,1.31199,1.31208,1.31156,1.31175,308,7,0
2020-01-03 07:30:00,1.31172,1.31256,1.31168,1.31227,467,7,0
2020-01-03 07:45:00,1.31227,1.3125,1.31197,1.31211,390,6,0
2020-01-03 08:00:00,1.31211,1.31212,1.3105,1.31079,697,2,0
2020-01-03 08:15:00,1.31079,1.31167,1.31071,1.31122,471,6,0
2020-01-03 08:30:00,1.31119,1.312,1.31101,1.31175,277,6,0
2020-01-03 08:45:00,1.31172,1.31238,1.31167,1.31234,353,9,0
2020-01-03 09:00:00,1.31232,1.31233,1.31133,1.31138,990,6,0
2020-01-03 09:15:00,1.31138,1.3115,1.31013,1.31068,707,6,0
2020-01-03 09:30:00,1.31068,1.31098,1.30961,1.30964,825,6,0
2020-01-03 09:45:00,1.30967,1.30975,1.30827,1.30908,1077,4,0
2020-01-03 10:00:00,1.30908,1.30985,1.30863,1.30966,1137,6,0
2020-01-03 10:15:00,1.30966,1.31174,1.30948,1.31172,970,4,0
2020-01-03 10:30:00,1.31173,1.31173,1.31041,1.31057,1181,5,0
2020-01-03 10:45:00,1.31057,1.3106,1.30959,1.30976,838,6,0
2020-01-03 11:00:00,1.30976,1.31007,1.30877,1.30884,897,4,0
2020-01-03 11:15:00,1.30883,1.30963,1.3082,1.30838,916,4,0
2020-01-03 11:30:00,1.30838,1.3088,1.30773,1.30801,960,3,0
2020-01-03 11:45:00,1.30801,1.30814,1.30662,1.30676,991,3,0
2020-01-03 12:00:00,1.30676,1.30817,1.30676,1.30767,940,2,0
2020-01-03 12:15:00,1.30767,1.30874,1.30762,1.30871,856,4,0
2020-01-03 12:30:00,1.30871,1.30878,1.30703,1.3073,772,2,0
2020-01-03 12:45:00,1.3073,1.30788,1.30711,1.30778,667,6,0
2020-01-03 13:00:00,1.30778,1.30784,1.30668,1.30693,649,4,0
2020-01-03 13:15:00,1.30693,1.30773,1.30669,1.30745,824,4,0
2020-01-03 13:30:00,1.30745,1.30745,1.30532,1.3058,830,4,0
2020-01-03 13:45:00,1.3058,1.30612,1.30553,1.30581,679,4,0
2020-01-03 14:00:00,1.30581,1.30605,1.30537,1.30567,962,5,0
2020-01-03 14:15:00,1.30567,1.30665,1.30564,1.3064,770,5,0
2020-01-03 14:30:00,1.3064,1.30777,1.30632,1.30763,921,6,0
2020-01-03 14:45:00,1.30763,1.30821,1.30723,1.30798,1009,4,0
2020-01-03 15:00:00,1.30798,1.30994,1.30794,1.30968,794,6,0
2020-01-03 15:15:00,1.30968,1.31096,1.30921,1.30922,592,2,0
2020-01-03 15:30:00,1.30922,1.30945,1.30856,1.30887,450,4,0
2020-01-03 15:45:00,1.30887,1.30898,1.30718,1.30723,737,4,0
2020-01-03 16:00:00,1.30721,1.30871,1.30681,1.30805,847,3,0
2020-01-03 16:15:00,1.30807,1.30895,1.30686,1.30712,842,5,0
2020-01-03 16:30:00,1.30713,1.30859,1.30691,1.30745,844,4,0
2020-01-03 16:45:00,1.30745,1.30795,1.3066,1.30691,781,5,0
2020-01-03 17:00:00,1.30729,1.3083,1.30685,1.30809,923,3,0
2020-01-03 17:15:00,1.30809,1.3094,1.30775,1.30898,813,5,0
2020-01-03 17:30:00,1.30898,1.30931,1.30826,1.30864,780,4,0
2020-01-03 17:45:00,1.30864,1.30893,1.307,1.30713,1065,3,0
2020-01-03 18:00:00,1.30713,1.30824,1.30691,1.3081,757,5,0
2020-01-03 18:15:00,1.3081,1.30952,1.30784,1.3095,548,5,0
2020-01-03 18:30:00,1.3095,1.30975,1.30915,1.30972,722,4,0
