time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 17:00:00,1.32142,1.32489,1.32117,1.32434,4688,2,0
2019-12-31 18:00:00,1.32432,1.32842,1.3228,1.32677,5292,2,0
2019-12-31 19:00:00,1.32677,1.32718,1.32585,1.32625,3284,3,0
2019-12-31 20:00:00,1.32621,1.32659,1.32512,1.32516,1202,4,0
2019-12-31 21:00:00,1.32515,1.32536,1.32348,1.32389,1862,11,0
2019-12-31 22:00:00,1.32388,1.32469,1.32309,1.32451,1785,12,0
2019-12-31 23:00:00,1.32448,1.32448,1.32448,1.32448,1,19,0
2020-01-02 06:00:00,1.3209,1.32177,1.32033,1.3207,2241,5,0
2020-01-02 07:00:00,1.3207,1.32137,1.32021,1.32134,2436,3,0
2020-01-02 08:00:00,1.32134,1.32239,1.32061,1.32187,1918,2,0
2020-01-02 09:00:00,1.32198,1.3229,1.32095,1.32195,2829,3,0
2020-01-02 10:00:00,1.32195,1.32305,1.3209,1.32215,3173,4,0
2020-01-02 11:00:00,1.32213,1.32269,1.32098,1.32139,1869,5,0
2020-01-02 12:00:00,1.32139,1.32146,1.32049,1.32112,1950,3,0
2020-01-02 13:00:00,1.32111,1.32113,1.31886,1.31995,2424,3,0
2020-01-02 14:00:00,1.31995,1.32126,1.31905,1.31968,2614,3,0
2020-01-02 15:00:00,1.31968,1.31969,1.31712,1.31762,3030,3,0
2020-01-02 16:00:00,1.31762,1.31772,1.31351,1.31473,3594,2,0
2020-01-02 17:00:00,1.31472,1.31943,1.31454,1.31888,4425,2,0
2020-01-02 18:00:00,1.31889,1.31891,1.31233,1.31268,4058,2,0
2020-01-02 19:00:00,1.31268,1.31342,1.3115,1.31341,3635,2,0
2020-01-02 20:00:00,1.31341,1.31433,1.31248,1.31395,2860,3,0
2020-01-02 21:00:00,1.31395,1.31403,1.31279,1.31284,2436,2,0
2020-01-02 22:00:00,1.31284,1.31455,1.31283,1.31383,2363,4,0
2020-01-02 23:00:00,1.31381,1.31418,1.31347,1.31363,1061,3,0
2020-01-03 00:00:00,1.31363,1.31457,1.31342,1.31371,1539,46,0
2020-01-03 01:00:00,1.31371,1.31479,1.31329,1.31466,1443,4,0
2020-01-03 02:00:00,1.31465,1.31566,1.31395,1.31549,1287,3,0
2020-01-03 03:00:00,1.31549,1.31599,1.31345,1.31376,1738,2,0
2020-01-03 04:00:00,1.31376,1.31435,1.31232,1.31273,2460,4,0
2020-01-03 05:00:00,1.31275,1.31378,1.31263,1.31355,2313,3,0
2020-01-03 06:00:00,1.31355,1.31372,1.31244,1.31257,1739,4,0
