time,open,high,low,close,tick_volume,spread,real_volume
2022-03-16 09:40:00,1.30417,1.30421,1.30406,1.30416,103,0,0
2022-03-16 09:42:00,1.30415,1.30425,1.30407,1.30425,88,0,0
2022-03-16 09:44:00,1.30425,1.30431,1.30385,1.30393,206,0,0
2022-03-16 09:46:00,1.30394,1.30395,1.30361,1.30383,249,0,0
2022-03-16 09:48:00,1.30382,1.30392,1.30375,1.30384,162,0,0
2022-03-16 09:50:00,1.30385,1.30451,1.30384,1.30449,215,0,0
2022-03-16 09:52:00,1.3045,1.30466,1.30432,1.30462,122,0,0
2022-03-16 09:54:00,1.30462,1.30462,1.30428,1.30436,173,0,0
2022-03-16 09:56:00,1.30436,1.30436,1.30414,1.30423,187,0,0
2022-03-16 09:58:00,1.30421,1.30424,1.30391,1.30393,141,0,0
2022-03-16 10:00:00,1.30393,1.30446,1.30386,1.30446,323,0,0
2022-03-16 10:02:00,1.30446,1.30505,1.30446,1.30483,187,0,0
2022-03-16 10:04:00,1.30484,1.3049,1.30428,1.30455,152,0,0
2022-03-16 10:06:00,1.30454,1.30464,1.3043,1.30436,204,0,0
2022-03-16 10:08:00,1.30437,1.3044,1.30408,1.30413,181,0,0
2022-03-16 10:10:00,1.30411,1.30447,1.30404,1.30438,202,0,0
2022-03-16 10:12:00,1.30437,1.30437,1.30402,1.30403,172,0,0
2022-03-16 10:14:00,1.30404,1.3044,1.30388,1.30439,159,0,0
2022-03-16 10:16:00,1.30439,1.30556,1.3043,1.30554,311,0,0
2022-03-16 10:18:00,1.30553,1.30598,1.30525,1.30584,461,0,0
2022-03-16 10:20:00,1.30584,1.30585,1.30508,1.30536,411,0,0
2022-03-16 10:22:00,1.30536,1.30546,1.3051,1.3052,415,0,0
2022-03-16 10:24:00,1.30521,1.30524,1.30479,1.30522,319,0,0
2022-03-16 10:26:00,1.30524,1.30537,1.30492,1.30502,302,0,0
2022-03-16 10:28:00,1.30501,1.30522,1.30496,1.30522,291,0,0
2022-03-16 10:30:00,1.30522,1.30575,1.30522,1.30559,296,0,0
2022-03-16 10:32:00,1.30559,1.30644,1.30553,1.30636,368,0,0
2022-03-16 10:34:00,1.30637,1.30646,1.30604,1.30607,372,0,0
2022-03-16 10:36:00,1.30607,1.30621,1.30589,1.30617,332,0,0
2022-03-16 10:38:00,1.30616,1.30663,1.3061,1.30663,321,0,0
2022-03-16 10:40:00,1.30663,1.30674,1.3062,1.30628,317,0,0
2022-03-16 10:42:00,1.30629,1.30675,1.30629,1.30675,240,0,0
2022-03-16 10:44:00,1.30675,1.30686,1.30659,1.30683,240,0,0
2022-03-16 10:46:00,1.30684,1.30702,1.30673,1.30689,207,0,0
2022-03-16 10:48:00,1.30689,1.30689,1.30623,1.30623,233,0,0
2022-03-16 10:50:00,1.30622,1.30635,1.30602,1.30623,221,0,0
2022-03-16 10:52:00,1.30623,1.30673,1.30619,1.30666,248,0,0
2022-03-16 10:54:00,1.30666,1.30674,1.30644,1.3067,180,0,0
2022-03-16 10:56:00,1.30672,1.30684,1.30613,1.30614,205,0,0
2022-03-16 10:58:00,1.30614,1.30615,1.3058,1.30584,127,0,0
2022-03-16 11:00:00,1.30585,1.30602,1.30563,1.30601,235,0,0
2022-03-16 11:02:00,1.306,1.30614,1.30577,1.30603,149,0,0
2022-03-16 11:04:00,1.30603,1.30646,1.30601,1.30622,188,0,0
2022-03-16 11:06:00,1.30622,1.30651,1.30616,1.30644,178,0,0
2022-03-16 11:08:00,1.30645,1.30676,1.30627,1.30668,175,0,0
2022-03-16 11:10:00,1.30668,1.30683,1.30659,1.30661,217,0,0
2022-03-16 11:12:00,1.30661,1.30673,1.30651,1.30658,130,0,0
2022-03-16 11:14:00,1.3066,1.30681,1.30646,1.30676,160,0,0
2022-03-16 11:16:00,1.30676,1.30703,1.30668,1.30702,152,0,0
2022-03-16 11:18:00,1.30702,1.30706,1.30679,1.30683,215,0,0
2022-03-16 11:20:00,1.30683,1.30686,1.30627,1.30629,259,0,0
2022-03-16 11:22:00,1.3063,1.30649,1.30619,1.30643,191,0,0
2022-03-16 11:24:00,1.30643,1.30685,1.30613,1.30678,107,0,0
2022-03-16 11:26:00,1.30677,1.30686,1.30654,1.30663,156,0,0
2022-03-16 11:28:00,1.30663,1.30676,1.30656,1.30659,125,0,0
2022-03-16 11:30:00,1.30659,1.30685,1.30655,1.3068,103,0,0
2022-03-16 11:32:00,1.3068,1.30691,1.30663,1.30666,176,0,0
2022-03-16 11:34:00,1.30666,1.30705,1.30665,1.30694,123,0,0
2022-03-16 11:36:00,1.30694,1.30696,1.30651,1.30652,181,0,0
2022-03-16 11:38:00,1.30653,1.30675,1.30649,1.30665,149,0,0
2022-03-16 11:40:00,1.30665,1.30705,1.30652,1.30704,126,0,0
2022-03-16 11:42:00,1.30711,1.30723,1.30668,1.3068,177,0,0
2022-03-16 11:44:00,1.30678,1.30684,1.30652,1.30665,173,0,0
2022-03-16 11:46:00,1.30665,1.30674,1.30638,1.30649,153,0,0
2022-03-16 11:48:00,1.30649,1.30661,1.30615,1.30629,188,0,0
2022-03-16 11:50:00,1.30628,1.30637,1.30625,1.30628,104,0,0
2022-03-16 11:52:00,1.30629,1.30633,1.30609,1.30619,104,0,0
2022-03-16 11:54:00,1.30619,1.30627,1.30604,1.30608,120,0,0
2022-03-16 11:56:00,1.30609,1.30625,1.30607,1.3061,99,0,0
2022-03-16 11:58:00,1.3061,1.30626,1.30598,1.30601,113,0,0
2022-03-16 12:00:00,1.30602,1.30613,1.30539,1.30549,156,0,0
2022-03-16 12:02:00,1.30549,1.30611,1.30549,1.30581,124,0,0
2022-03-16 12:04:00,1.30581,1.30592,1.30555,1.30576,132,0,0
2022-03-16 12:06:00,1.30577,1.30577,1.30546,1.30552,143,0,0
2022-03-16 12:08:00,1.30552,1.30562,1.30527,1.30539,132,0,0
2022-03-16 12:10:00,1.30538,1.30624,1.30538,1.30624,363,0,0
2022-03-16 12:12:00,1.30623,1.30702,1.30622,1.30688,411,0,0
2022-03-16 12:14:00,1.30688,1.3071,1.30681,1.30682,352,0,0
2022-03-16 12:16:00,1.30683,1.30711,1.30669,1.30671,241,0,0
2022-03-16 12:18:00,1.30671,1.30698,1.30663,1.30672,282,0,0
2022-03-16 12:20:00,1.3067,1.30689,1.30636,1.30657,225,0,0
2022-03-16 12:22:00,1.30659,1.30699,1.30659,1.30699,207,0,0
2022-03-16 12:24:00,1.30699,1.30718,1.30681,1.30681,202,0,0
2022-03-16 12:26:00,1.30681,1.30698,1.30667,1.30687,160,0,0
2022-03-16 12:28:00,1.30687,1.3069,1.3067,1.3067,162,0,0
2022-03-16 12:30:00,1.30669,1.30674,1.3065,1.3066,185,0,0
