time,open,high,low,close,tick_volume,spread,real_volume
2022-11-16 07:00:00,1.18365,1.18803,1.18317,1.18706,11286,1,0
2022-11-16 08:00:00,1.18703,1.18859,1.18678,1.18798,9462,1,0
2022-11-16 09:00:00,1.18799,1.19024,1.18368,1.18926,15121,1,0
2022-11-16 10:00:00,1.18927,1.19029,1.18561,1.1884000000000001,17599,0,0
2022-11-16 11:00:00,1.1884299999999999,1.19025,1.18617,1.18956,12308,0,0
2022-11-16 12:00:00,1.18956,1.1942,1.18933,1.19252,12957,0,0
2022-11-16 13:00:00,1.19252,1.19269,1.18893,1.19022,14080,0,0
2022-11-16 14:00:00,1.19022,1.19166,1.18894,1.19142,14103,0,0
2022-11-16 15:00:00,1.19137,1.19163,1.18596,1.18722,17958,0,0
2022-11-16 16:00:00,1.18723,1.18906,1.18408,1.18502,20481,0,0
2022-11-16 17:00:00,1.185,1.18947,1.18319,1.18914,17741,0,0
2022-11-16 18:00:00,1.18912,1.18951,1.18654,1.18879,14602,0,0
2022-11-16 19:00:00,1.18881,1.19057,1.18788,1.18949,12379,0,0
2022-11-16 20:00:00,1.1895,1.18993,1.18688,1.18841,8979,0,0
2022-11-16 21:00:00,1.1884299999999999,1.1915499999999999,1.18821,1.19116,9786,0,0
2022-11-16 22:00:00,1.1911,1.19248,1.19009,1.19195,8963,0,0
2022-11-16 23:00:00,1.19195,1.19195,1.19115,1.19133,4850,3,0
2022-11-17 00:00:00,1.19088,1.1920600000000001,1.1907,1.1914500000000001,2706,9,0
2022-11-17 01:00:00,1.19146,1.19185,1.19106,1.19134,5680,8,0
2022-11-17 02:00:00,1.19133,1.19193,1.19029,1.1905000000000001,7582,3,0
2022-11-17 03:00:00,1.1905000000000001,1.19123,1.18832,1.18871,8816,4,0
2022-11-17 04:00:00,1.1887,1.18913,1.18658,1.1878199999999999,11040,4,0
2022-11-17 05:00:00,1.1878199999999999,1.18807,1.18663,1.18787,9612,3,0
2022-11-17 06:00:00,1.18791,1.18902,1.18766,1.1886,9675,5,0
2022-11-17 07:00:00,1.18861,1.19044,1.1883,1.18975,9463,0,0
2022-11-17 08:00:00,1.18976,1.1915499999999999,1.18961,1.19108,10139,1,0
2022-11-17 09:00:00,1.19107,1.19378,1.18916,1.19344,12593,0,0
2022-11-17 10:00:00,1.19344,1.1958,1.19194,1.19259,15890,0,0
2022-11-17 11:00:00,1.19256,1.19278,1.1869399999999999,1.18862,12653,0,0
2022-11-17 12:00:00,1.18863,1.18894,1.18456,1.18672,13889,0,0
2022-11-17 13:00:00,1.18672,1.18708,1.18008,1.18518,14526,0,0
2022-11-17 14:00:00,1.18518,1.18728,1.17998,1.18061,17593,0,0
2022-11-17 15:00:00,1.18064,1.18187,1.17628,1.17648,18322,0,0
2022-11-17 16:00:00,1.17647,1.18116,1.17632,1.1788,16531,0,0
2022-11-17 17:00:00,1.17881,1.18195,1.17676,1.17777,14835,0,0
2022-11-17 18:00:00,1.17781,1.1813,1.17655,1.18096,12614,0,0
2022-11-17 19:00:00,1.18097,1.18443,1.18097,1.18371,12586,0,0
2022-11-17 20:00:00,1.18368,1.18648,1.18346,1.18522,8672,0,0
2022-11-17 21:00:00,1.18522,1.18597,1.18437,1.18513,7482,0,0
2022-11-17 22:00:00,1.18514,1.18635,1.1842,1.18628,8183,0,0
2022-11-17 23:00:00,1.18628,1.1868400000000001,1.18598,1.18609,2504,6,0
2022-11-18 00:00:00,1.18603,1.18686,1.18544,1.18629,3867,15,0
2022-11-18 01:00:00,1.1864,1.18665,1.1857,1.18578,6925,8,0
2022-11-18 02:00:00,1.18578,1.18956,1.18578,1.18897,7024,4,0
2022-11-18 03:00:00,1.18897,1.19017,1.1882,1.1886,10436,3,0
2022-11-18 04:00:00,1.1886,1.191,1.18857,1.18966,10551,0,0
